id_client,nom,prenom,email,date_naissance,sexe,ville,telephone,date_inscription,canal_acquisition
C0001,Berrada,Fatima,fatima.berrada1@gmail.com,1971-09-03,Femme,laayoune,0641227216,2021-03-23,email
C0002,Guerraoui,Sanaa,sanaa.guerraoui2@gmail.com,1993-01-25,0,Rabat,0638898923,2020-11-14,social_media
C0003,Tazi,Omar,omar.tazi3@gmail.com,2003-01-24,m,Oujda,0620576383,2022-02-14,email
C0004,Lahlou,Tariq,tariq.lahlou4@gmail.com,1969-04-25,Homme,Marrakech,0661019678,2020-07-25,social_media
C0005,Tazi,Hassan,hassan.tazi5@gmail.com,1982-11-21,1,Casablanca,0631931511,2021-05-16,referral
C0006,Tazi,Rachid,rachid.tazi6@gmail.com,1968-01-26,1,agadir,0652235350,2023-03-07,paid_search
C0007,Filali,Laila,laila.filali7@gmail.com,1980-09-09,female,Laayoune,0639436733,2022-01-11,paid_search
C0008,Alami,Khadija,khadija.alami8@gmail.com,1975-07-20,f,Casablanca,0681016525,2022-08-16,social_media
C0009,Guerraoui,Fatima,fatima.guerraoui9@gmail.com,1986-07-06,f,OUJDA,0677187530,2021-06-23,paid_search
C0010,Guerraoui,Khadija,khadija.guerraoui10@gmail.com,1974-03-18,Femme,Meknes,0612614124,2022-09-27,organic
C0011,Benali,Nadia,nadia.benali11@gmail.com,2001-02-24,0,Oujda,0626879290,2022-12-26,paid_search
C0012,Cherkaoui,Sanaa,sanaa.cherkaoui12@gmail.com,2003-04-18,0,Fes,0697225156,2023-10-07,social_media
C0013,Alami,Rachid,rachid.alami13@gmail.com,1969-10-18,male,fes,0694705205,2023-12-20,organic
C0014,Alami,Mohamed,mohamed.alami14@gmail.com,1982-04-18,Homme,Rabat,0673440831,2023-03-26,paid_search
C0015,Alami,Laila,laila.alami15@gmail.com,1992-07-15,0,Tanger,0618135295,2020-07-20,referral
C0016,Berrada,Khadija,khadija.berrada16@gmail.com,1993-03-09,0,Oujda,0683863413,2022-06-26,organic
C0017,Alami,Rachid,rachid.alami17@gmail.com,1980-08-16,m,Fes,0660864911,2020-12-03,organic
C0018,Cherkaoui,Nadia,nadia.cherkaoui18@gmail.com,2000-08-05,female,Fes,0682772208,2023-04-01,organic
C0019,Lahlou,Fatima,fatima.lahlou19@gmail.com,1998-09-03,f,RABAT,0641568532,2020-05-19,referral
C0020,Lahlou,Tariq,tariq.lahlou20@gmail.com,2004-11-19,1,Laayoune,0699889098,2021-02-22,social_media
C0021,Cherkaoui,Omar,omar.cherkaoui21@gmail.com,1850-10-19,1,CASABLANCA,0677898694,2021-03-12,social_media
C0022,Berrada,Hassan,hassan.berrada22@gmail.com,1975-09-23,m,Marrakech,0680993218,2023-09-01,organic
C0023,Alami,Sanaa,sanaa.alami23@gmail.com,1973-02-24,Femme,Meknes,0656020613,2021-03-07,paid_search
C0024,Cherkaoui,Nadia,nadia.cherkaoui24@gmail.com,1968-07-27,female,MARRAKECH,0627558317,2021-11-14,social_media
C0025,Idrissi,Khalid,khalid.idrissi25@gmail.com,1972-12-05,h,MEKNES,0688183110,2022-01-26,email
C0026,Cherkaoui,Youssef,youssef.cherkaoui26@gmail.com,1967-04-22,m,Fes,0664543049,2023-02-20,email
C0027,Filali,Meryem,meryem.filali27@gmail.com,1966-06-26,0,Tetouan,0645810056,2021-05-23,paid_search
C0028,Benali,Khadija,khadija.benali28@gmail.com,1979-08-12,female,Marrakech,0613176186,2021-04-01,paid_search
C0029,Cherkaoui,Amine,amine.cherkaoui29@gmail.com,1997-09-11,m,TANGER,0633966966,2021-06-18,email
C0030,Alami,Nadia,nadia.alami30@gmail.com,1987-06-14,f,laayoune,0635511941,2023-03-26,social_media
C0031,Guerraoui,Omar,omar.guerraoui31@gmail.com,1999-12-24,m,fes,0654318698,2023-09-22,email
C0032,Guerraoui,Ahmed,ahmed.guerraoui32@gmail.com,1991-12-10,Homme,MEKNES,0699245317,2022-05-11,referral
C0033,Idrissi,Zineb,zineb.idrissi33@gmail.com,1965-04-14,Femme,Laayoune,0669345683,2022-06-23,paid_search
C0034,Cherkaoui,Zineb,zineb.cherkaoui34@gmail.com,2005-02-27,f,Fes,0629777514,2021-02-11,organic
C0035,Alami,Khalid,khalid.alami35@gmail.com,2005-12-23,h,Tetouan,0610744212,2023-09-05,organic
C0036,Guerraoui,Meryem,meryem.guerraoui36@gmail.com,2000-02-15,0,Rabat,0689920257,2023-02-18,social_media
C0037,Guerraoui,Houda,houda.guerraoui37@gmail.com,1975-08-15,female,Marrakech,0679967676,2021-07-21,referral
C0038,Alami,Nadia,nadia.alami38@gmail.com,1980-06-18,female,CASABLANCA,0661410126,2021-04-18,paid_search
C0039,Idrissi,Khadija,khadija.idrissi39@gmail.com,1994-04-27,female,Tetouan,0612621534,2023-11-25,email
C0040,Cherkaoui,Mohamed,mohamed.cherkaoui40@gmail.com,1991-12-18,Homme,Laayoune,0668496914,2021-07-12,referral
C0041,Filali,Hassan,hassan.filali41@gmail.com,1973-09-01,male,Tetouan,0696268397,2020-06-20,referral
C0042,Benali,Khalid,khalid.benali42@gmail.com,1985-06-11,1,Tetouan,0643859311,2022-05-13,organic
C0043,Tazi,Rachid,rachid.tazi43@gmail.com,1969-11-02,m,Tanger,0693394260,2020-02-11,paid_search
C0044,Lahlou,Khalid,khalid.lahlou44@gmail.com,1994-06-06,m,Laayoune,0631980274,2020-08-22,social_media
C0045,Lahlou,Mohamed,mohamed.lahlou45@gmail.com,1989-12-07,Homme,Casablanca,0623676961,2021-05-12,social_media
C0046,Lahlou,Imane,imane.lahlou46@gmail.com,1987-11-12,f,Casablanca,0675793759,2022-05-10,organic
C0047,Filali,Hassan,hassan.filali47@gmail.com,1998-05-20,male,Meknes,0646023439,2023-04-28,social_media
C0048,Benomar,Khadija,khadija.benomar48@gmail.com,1994-11-13,Femme,AGADIR,0634406132,2021-10-27,referral
C0049,Cherkaoui,Amine,amine.cherkaoui49@gmail.com,1982-09-07,Homme,Casablanca,0642255732,2023-02-11,referral
C0050,Benali,Houda,houda.benali50@gmail.com,1979-04-10,female,Laayoune,0667110154,2021-12-05,email
